Timestamp,CPU_Usage(%),Memory_Usage(%),Disk_Usage(%),Network_Sent(MB),Network_Recv(MB),Battery(%),Battery_Status
2025-05-28 10:38:09,0.0,57.6,3.7,181.12,2876.2,100,Plugged In
2025-05-28 10:38:14,9.9,57.5,3.7,181.21,2876.33,100,Plugged In
2025-05-28 10:38:19,8.2,57.5,3.7,181.29,2876.35,100,Plugged In
2025-05-28 10:38:24,10.9,57.6,3.7,181.38,2876.36,100,Plugged In
2025-05-28 10:38:29,11.3,57.5,3.7,181.49,2876.38,100,Plugged In
2025-05-28 10:38:34,7.9,57.5,3.7,181.58,2876.4,100,Plugged In
2025-05-28 10:38:39,7.6,57.5,3.7,181.68,2876.41,100,Plugged In
2025-06-03 12:51:20,0.0,59.3,3.7,229.17,1653.6,100,Plugged In
2025-06-03 12:51:25,8.8,59.5,3.7,229.23,1653.68,100,Plugged In
2025-06-03 12:51:30,9.0,59.5,3.7,229.3,1653.76,100,Plugged In
2025-06-03 12:51:35,8.3,59.5,3.7,229.37,1653.84,100,Plugged In
2025-06-03 12:51:40,11.2,59.6,3.7,229.45,1653.92,100,Plugged In
